SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,LeaseContractLength,PurchaseOption,OfferingClass,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Storage,Network Performance,Processor Architecture,Storage Media,Volume Type,Max Volume Size,Max IOPS/volume,Max IOPS Burst Performance,Max throughput/volume,Provisioned,Tenancy,EBS Optimized,Operating System,License Model,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,CapacityStatus,Dedicated EBS Throughput,ECU,Elastic Graphics Type,Enhanced Networking Supported,GPU,GPU Memory,Instance,Instance Capacity - 10xlarge,Instance Capacity - 12xlarge,Instance Capacity - 16xlarge,Instance Capacity - 18xlarge,Instance Capacity - 24xlarge,Instance Capacity - 2xlarge,Instance Capacity - 32xlarge,Instance Capacity - 4xlarge,Instance Capacity - 8xlarge,Instance Capacity - 9xlarge,Instance Capacity - large,Instance Capacity - medium,Instance Capacity - metal,Instance Capacity - xlarge,instanceSKU,Intel AVX Available,Intel AVX2 Available,Intel Turbo Available,Normalization Size Factor,Physical Cores,Pre Installed S/W,Processor Features,Product Type,Resource Type,serviceName,Volume API Name
N6KNTHBGKWBKFCZZ,JRTCKXETXF,N6KNTHBGKWBKFCZZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$29.476 per Dedicated SUSE p3.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,29.476,USD,,,,Compute Instance,AmazonEC2,AWS GovCloud (US-West),AWS Region,p3.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,488 GiB,EBS only,25 Gigabit,64-bit,,,,,,,,Dedicated,,SUSE,No License required,,,,,,,,UGW1-DedicatedUsage:p3.16xlarge,RunInstances:000g,Used,14000 Mbps,201,,Yes,8,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
VNT94W34YSHKDST8,JRTCKXETXF,VNT94W34YSHKDST8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$24.61 per Dedicated RHEL p3.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,24.61,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,p3.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,488 GiB,EBS only,25 Gigabit,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:p3.16xlarge,RunInstances:0010,Used,14000 Mbps,201,,Yes,8,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
M5FVPFU2HE88PCS4,JRTCKXETXF,M5FVPFU2HE88PCS4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.689 per On Demand SUSE p3.2xlarge Instance Hour,2020-04-01,0,Inf,Hrs,3.689,USD,,,,Compute Instance,AmazonEC2,EU (London),AWS Region,p3.2xlarge,Yes,GPU instance,8,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,61 GiB,EBS only,Up to 10 Gigabit,64-bit,,,,,,,,Shared,,SUSE,No License required,,,,,,,,EUW2-BoxUsage:p3.2xlarge,RunInstances:000g,Used,1750 Mbps,31,,Yes,1,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,16,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
TMDF86P5K2MZ8RX8,JRTCKXETXF,TMDF86P5K2MZ8RX8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$15.652 per On Demand SUSE p2.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,15.652,USD,,,,Compute Instance,AmazonEC2,EU (Ireland),AWS Region,p2.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,732 GiB,EBS only,20 Gigabit,64-bit,,,,,,,,Shared,,SUSE,No License required,,,,,,,,EU-BoxUsage:p2.16xlarge,RunInstances:000g,Used,10000 Mbps,201,,Yes,16,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
D9ABTBAPA9RCSRXF,JRTCKXETXF,D9ABTBAPA9RCSRXF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$41.87 per On Demand Windows p3dn.24xlarge Instance Hour,2020-04-01,0,Inf,Hrs,41.87,USD,,,,Compute Instance,AmazonEC2,AWS GovCloud (US-East),AWS Region,p3dn.24xlarge,Yes,GPU instance,96,Intel Xeon Platinum 8175 (Skylake),2.5 GHz,768 GiB,2 x 900 NVMe SSD,100 Gigabit,64-bit,,,,,,,,Shared,,Windows,No License required,,,,,,,,UGE1-BoxUsage:p3dn.24xlarge,RunInstances:0002,Used,14000 Mbps,337,,Yes,8,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,192,,NA,Intel AVX; Intel AVX2; Intel AVX512; Intel Turbo,,,Amazon Elastic Compute Cloud,
HWNDTC4CT9U39TWQ,JRTCKXETXF,HWNDTC4CT9U39TWQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$18.248 per Unused Reservation Windows p3.8xlarge Instance Hour,2020-04-01,0,Inf,Hrs,18.248,USD,,,,Compute Instance,AmazonEC2,Asia Pacific (Tokyo),AWS Region,p3.8xlarge,Yes,GPU instance,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,244 GiB,EBS only,10 Gigabit,64-bit,,,,,,,,Shared,,Windows,No License required,,,,,,,,APN1-UnusedBox:p3.8xlarge,RunInstances:0002,UnusedCapacityReservation,7000 Mbps,97,,Yes,4,,,,,,,,,,,,,,,,,BHVGUPJAB9MQKXCD,Yes,Yes,Yes,64,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
8WMDEY6NUSZMHQR8,JRTCKXETXF,8WMDEY6NUSZMHQR8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.911 per Dedicated Unused Reservation Windows BYOL p3.2xlarge Instance Hour,2020-04-01,0,Inf,Hrs,3.911,USD,,,,Compute Instance,AmazonEC2,AWS GovCloud (US-West),AWS Region,p3.2xlarge,Yes,GPU instance,8,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,61 GiB,EBS only,Up to 10 Gigabit,64-bit,,,,,,,,Dedicated,,Windows,Bring your own license,,,,,,,,UGW1-UnusedDed:p3.2xlarge,RunInstances:0800,UnusedCapacityReservation,1750 Mbps,31,,Yes,1,,,,,,,,,,,,,,,,,4VJ876CSEE7SAQBV,Yes,Yes,Yes,16,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
79WHS92NARVBUVGP,JRTCKXETXF,79WHS92NARVBUVGP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$14.508 per Dedicated Unused Reservation Windows p3.8xlarge Instance Hour,2020-04-01,0,Inf,Hrs,14.508,USD,,,,Compute Instance,AmazonEC2,US West (Oregon),AWS Region,p3.8xlarge,Yes,GPU instance,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,244 GiB,EBS only,10 Gigabit,64-bit,,,,,,,,Dedicated,,Windows,No License required,,,,,,,,USW2-UnusedDed:p3.8xlarge,RunInstances:0002,UnusedCapacityReservation,7000 Mbps,97,,Yes,4,,,,,,,,,,,,,,,,,EF8F94FP94VA4M2N,Yes,Yes,Yes,64,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
7MW5QZCS9MBGFR3A,JRTCKXETXF,7MW5QZCS9MBGFR3A.JRTCKXETXF.6YS6EN2CT7,OnDemand,$26.54 per Dedicated SUSE p3.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,26.54,USD,,,,Compute Instance,AmazonEC2,EU (Ireland),AWS Region,p3.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,488 GiB,EBS only,25 Gigabit,64-bit,,,,,,,,Dedicated,,SUSE,No License required,,,,,,,,EU-DedicatedUsage:p3.16xlarge,RunInstances:000g,Used,14000 Mbps,201,,Yes,8,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
3ZFT79TFSECQ7E64,JRTCKXETXF,3ZFT79TFSECQ7E64.JRTCKXETXF.6YS6EN2CT7,OnDemand,$13.036 per Dedicated Windows BYOL p3.8xlarge Instance Hour,2020-04-01,0,Inf,Hrs,13.036,USD,,,,Compute Instance,AmazonEC2,US East (Ohio),AWS Region,p3.8xlarge,Yes,GPU instance,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,244 GiB,EBS only,10 Gigabit,64-bit,,,,,,,,Dedicated,,Windows,Bring your own license,,,,,,,,USE2-DedicatedUsage:p3.8xlarge,RunInstances:0800,Used,7000 Mbps,97,,Yes,4,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,64,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
